machine_id,from_family,to_family,changeover_minutes
M01,FAM_A,FAM_A,20
M01,FAM_A,FAM_B,150
M01,FAM_A,FAM_C,90
M01,FAM_A,FAM_D,120
M01,FAM_A,FAM_E,90
M01,FAM_B,FAM_A,150
M01,FAM_B,FAM_B,20
M01,FAM_B,FAM_C,180
M01,FAM_B,FAM_D,150
M01,FAM_B,FAM_E,90
M01,FAM_C,FAM_A,120
M01,FAM_C,FAM_B,150
M01,FAM_C,FAM_C,20
M01,FAM_C,FAM_D,120
M01,FAM_C,FAM_E,180
M01,FAM_D,FAM_A,180
M01,FAM_D,FAM_B,180
M01,FAM_D,FAM_C,120
M01,FAM_D,FAM_D,20
M01,FAM_D,FAM_E,150
M01,FAM_E,FAM_A,120
M01,FAM_E,FAM_B,120
M01,FAM_E,FAM_C,150
M01,FAM_E,FAM_D,180
M01,FAM_E,FAM_E,20
M02,FAM_A,FAM_A,20
M02,FAM_A,FAM_B,150
M02,FAM_A,FAM_C,90
M02,FAM_A,FAM_D,120
M02,FAM_A,FAM_E,90
M02,FAM_B,FAM_A,150
M02,FAM_B,FAM_B,20
M02,FAM_B,FAM_C,180
M02,FAM_B,FAM_D,150
M02,FAM_B,FAM_E,90
M02,FAM_C,FAM_A,120
M02,FAM_C,FAM_B,150
M02,FAM_C,FAM_C,20
M02,FAM_C,FAM_D,120
M02,FAM_C,FAM_E,180
M02,FAM_D,FAM_A,180
M02,FAM_D,FAM_B,180
M02,FAM_D,FAM_C,120
M02,FAM_D,FAM_D,20
M02,FAM_D,FAM_E,150
M02,FAM_E,FAM_A,120
M02,FAM_E,FAM_B,120
M02,FAM_E,FAM_C,150
M02,FAM_E,FAM_D,180
M02,FAM_E,FAM_E,20
M03,FAM_A,FAM_A,20
M03,FAM_A,FAM_B,150
M03,FAM_A,FAM_C,90
M03,FAM_A,FAM_D,120
M03,FAM_A,FAM_E,90
M03,FAM_B,FAM_A,150
M03,FAM_B,FAM_B,20
M03,FAM_B,FAM_C,180
M03,FAM_B,FAM_D,150
M03,FAM_B,FAM_E,90
M03,FAM_C,FAM_A,120
M03,FAM_C,FAM_B,150
M03,FAM_C,FAM_C,20
M03,FAM_C,FAM_D,120
M03,FAM_C,FAM_E,180
M03,FAM_D,FAM_A,180
M03,FAM_D,FAM_B,180
M03,FAM_D,FAM_C,120
M03,FAM_D,FAM_D,20
M03,FAM_D,FAM_E,150
M03,FAM_E,FAM_A,120
M03,FAM_E,FAM_B,120
M03,FAM_E,FAM_C,150
M03,FAM_E,FAM_D,180
M03,FAM_E,FAM_E,20
M04,FAM_A,FAM_A,20
M04,FAM_A,FAM_B,150
M04,FAM_A,FAM_C,90
M04,FAM_A,FAM_D,120
M04,FAM_A,FAM_E,90
M04,FAM_B,FAM_A,150
M04,FAM_B,FAM_B,20
M04,FAM_B,FAM_C,180
M04,FAM_B,FAM_D,150
M04,FAM_B,FAM_E,90
M04,FAM_C,FAM_A,120
M04,FAM_C,FAM_B,150
M04,FAM_C,FAM_C,20
M04,FAM_C,FAM_D,120
M04,FAM_C,FAM_E,180
M04,FAM_D,FAM_A,180
M04,FAM_D,FAM_B,180
M04,FAM_D,FAM_C,120
M04,FAM_D,FAM_D,20
M04,FAM_D,FAM_E,150
M04,FAM_E,FAM_A,120
M04,FAM_E,FAM_B,120
M04,FAM_E,FAM_C,150
M04,FAM_E,FAM_D,180
M04,FAM_E,FAM_E,20
M05,FAM_A,FAM_A,20
M05,FAM_A,FAM_B,150
M05,FAM_A,FAM_C,90
M05,FAM_A,FAM_D,120
M05,FAM_A,FAM_E,90
M05,FAM_B,FAM_A,150
M05,FAM_B,FAM_B,20
M05,FAM_B,FAM_C,180
M05,FAM_B,FAM_D,150
M05,FAM_B,FAM_E,90
M05,FAM_C,FAM_A,120
M05,FAM_C,FAM_B,150
M05,FAM_C,FAM_C,20
M05,FAM_C,FAM_D,120
M05,FAM_C,FAM_E,180
M05,FAM_D,FAM_A,180
M05,FAM_D,FAM_B,180
M05,FAM_D,FAM_C,120
M05,FAM_D,FAM_D,20
M05,FAM_D,FAM_E,150
M05,FAM_E,FAM_A,120
M05,FAM_E,FAM_B,120
M05,FAM_E,FAM_C,150
M05,FAM_E,FAM_D,180
M05,FAM_E,FAM_E,20
M06,FAM_A,FAM_A,20
M06,FAM_A,FAM_B,150
M06,FAM_A,FAM_C,90
M06,FAM_A,FAM_D,120
M06,FAM_A,FAM_E,90
M06,FAM_B,FAM_A,150
M06,FAM_B,FAM_B,20
M06,FAM_B,FAM_C,180
M06,FAM_B,FAM_D,150
M06,FAM_B,FAM_E,90
M06,FAM_C,FAM_A,120
M06,FAM_C,FAM_B,150
M06,FAM_C,FAM_C,20
M06,FAM_C,FAM_D,120
M06,FAM_C,FAM_E,180
M06,FAM_D,FAM_A,180
M06,FAM_D,FAM_B,180
M06,FAM_D,FAM_C,120
M06,FAM_D,FAM_D,20
M06,FAM_D,FAM_E,150
M06,FAM_E,FAM_A,120
M06,FAM_E,FAM_B,120
M06,FAM_E,FAM_C,150
M06,FAM_E,FAM_D,180
M06,FAM_E,FAM_E,20
M07,FAM_A,FAM_A,20
M07,FAM_A,FAM_B,150
M07,FAM_A,FAM_C,90
M07,FAM_A,FAM_D,120
M07,FAM_A,FAM_E,90
M07,FAM_B,FAM_A,150
M07,FAM_B,FAM_B,20
M07,FAM_B,FAM_C,180
M07,FAM_B,FAM_D,150
M07,FAM_B,FAM_E,90
M07,FAM_C,FAM_A,120
M07,FAM_C,FAM_B,150
M07,FAM_C,FAM_C,20
M07,FAM_C,FAM_D,120
M07,FAM_C,FAM_E,180
M07,FAM_D,FAM_A,180
M07,FAM_D,FAM_B,180
M07,FAM_D,FAM_C,120
M07,FAM_D,FAM_D,20
M07,FAM_D,FAM_E,150
M07,FAM_E,FAM_A,120
M07,FAM_E,FAM_B,120
M07,FAM_E,FAM_C,150
M07,FAM_E,FAM_D,180
M07,FAM_E,FAM_E,20
M08,FAM_A,FAM_A,20
M08,FAM_A,FAM_B,150
