order_id,operation_no,operation_type,eligible_machines,processing_hours_per_piece,setup_minutes,quantity
O001,1,Turning,M01|M02|M03|M04|M11|M12,0.018,45,3000
O001,2,Milling,M05|M06|M10,0.025,35,3000
O001,3,Drilling,M07|M08|M09,0.012,25,3000
O001,4,Grinding,M14,0.02,60,3000
O001,5,Inspection,M13,0.008,10,3000
O002,1,Turning,M01|M02|M03|M04|M11|M12,0.018,45,1000
O002,2,Drilling,M07|M08|M09,0.012,25,1000
O002,3,Milling,M05|M06|M10,0.025,35,1000
O002,4,Grinding,M14,0.02,60,1000
O002,5,Inspection,M13,0.008,10,1000
O003,1,Turning,M01|M02|M03|M04|M11|M12,0.018,45,3500
O003,2,Milling,M05|M06|M10,0.025,35,3500
O003,3,Drilling,M07|M08|M09,0.012,25,3500
O003,4,Finishing,M13,0.01,20,3500
O003,5,Grinding,M14,0.02,60,3500
O003,6,Inspection,M13,0.008,10,3500
O004,1,Turning,M01|M02|M03|M04|M11|M12,0.018,45,2500
O004,2,Drilling,M07|M08|M09,0.012,25,2500
O004,3,Grinding,M14,0.02,60,2500
O004,4,Inspection,M13,0.008,10,2500
O005,1,Turning,M01|M02|M03|M04|M11|M12,0.018,45,400
O005,2,Milling,M05|M06|M10,0.025,35,400
O005,3,Grinding,M14,0.02,60,400
O005,4,Finishing,M13,0.01,20,400
O005,5,Inspection,M13,0.008,10,400
O006,1,Turning,M01|M02|M03|M04|M11|M12,0.018,45,2500
O006,2,Milling,M05|M06|M10,0.025,35,2500
O006,3,Drilling,M07|M08|M09,0.012,25,2500
O006,4,Grinding,M14,0.02,60,2500
O006,5,Inspection,M13,0.008,10,2500
O007,1,Turning,M01|M02|M03|M04|M11|M12,0.018,45,3500
O007,2,Drilling,M07|M08|M09,0.012,25,3500
O007,3,Milling,M05|M06|M10,0.025,35,3500
O007,4,Grinding,M14,0.02,60,3500
O007,5,Inspection,M13,0.008,10,3500
O008,1,Turning,M01|M02|M03|M04|M11|M12,0.018,45,800
O008,2,Milling,M05|M06|M10,0.025,35,800
O008,3,Drilling,M07|M08|M09,0.012,25,800
O008,4,Finishing,M13,0.01,20,800
O008,5,Grinding,M14,0.02,60,800
O008,6,Inspection,M13,0.008,10,800
O009,1,Turning,M01|M02|M03|M04|M11|M12,0.018,45,4000
O009,2,Drilling,M07|M08|M09,0.012,25,4000
O009,3,Grinding,M14,0.02,60,4000
O009,4,Inspection,M13,0.008,10,4000
O010,1,Turning,M01|M02|M03|M04|M11|M12,0.018,45,1500
O010,2,Milling,M05|M06|M10,0.025,35,1500
O010,3,Grinding,M14,0.02,60,1500
O010,4,Finishing,M13,0.01,20,1500
O010,5,Inspection,M13,0.008,10,1500
O011,1,Turning,M01|M02|M03|M04|M11|M12,0.018,45,800
O011,2,Milling,M05|M06|M10,0.025,35,800
O011,3,Drilling,M07|M08|M09,0.012,25,800
O011,4,Grinding,M14,0.02,60,800
O011,5,Inspection,M13,0.008,10,800
O012,1,Turning,M01|M02|M03|M04|M11|M12,0.018,45,1500
O012,2,Drilling,M07|M08|M09,0.012,25,1500
O012,3,Milling,M05|M06|M10,0.025,35,1500
O012,4,Grinding,M14,0.02,60,1500
O012,5,Inspection,M13,0.008,10,1500
O013,1,Turning,M01|M02|M03|M04|M11|M12,0.018,45,2500
O013,2,Milling,M05|M06|M10,0.025,35,2500
O013,3,Drilling,M07|M08|M09,0.012,25,2500
O013,4,Finishing,M13,0.01,20,2500
O013,5,Grinding,M14,0.02,60,2500
O013,6,Inspection,M13,0.008,10,2500
O014,1,Turning,M01|M02|M03|M04|M11|M12,0.018,45,1800
O014,2,Drilling,M07|M08|M09,0.012,25,1800
O014,3,Grinding,M14,0.02,60,1800
O014,4,Inspection,M13,0.008,10,1800
O015,1,Turning,M01|M02|M03|M04|M11|M12,0.018,45,400
O015,2,Milling,M05|M06|M10,0.025,35,400
O015,3,Grinding,M14,0.02,60,400
O015,4,Finishing,M13,0.01,20,400
O015,5,Inspection,M13,0.008,10,400
O016,1,Turning,M01|M02|M03|M04|M11|M12,0.018,45,2500
O016,2,Milling,M05|M06|M10,0.025,35,2500
O016,3,Drilling,M07|M08|M09,0.012,25,2500
O016,4,Grinding,M14,0.02,60,2500
O016,5,Inspection,M13,0.008,10,2500
O017,1,Turning,M01|M02|M03|M04|M11|M12,0.018,45,3500
O017,2,Drilling,M07|M08|M09,0.012,25,3500
O017,3,Milling,M05|M06|M10,0.025,35,3500
O017,4,Grinding,M14,0.02,60,3500
O017,5,Inspection,M13,0.008,10,3500
O018,1,Turning,M01|M02|M03|M04|M11|M12,0.018,45,800
O018,2,Milling,M05|M06|M10,0.025,35,800
O018,3,Drilling,M07|M08|M09,0.012,25,800
O018,4,Finishing,M13,0.01,20,800
O018,5,Grinding,M14,0.02,60,800
O018,6,Inspection,M13,0.008,10,800
O019,1,Turning,M01|M02|M03|M04|M11|M12,0.018,45,4500
